2025-02-01 12:31:22,881 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 12:31:22,891 | INFO | root | Gerar análises de vendas...
2025-02-01 12:31:22,893 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 12:31:22,897 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 12:31:22,897 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 12:31:23,048 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Produto'
2025-02-01 12:31:37,209 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 12:31:37,219 | INFO | root | Gerar análises de vendas...
2025-02-01 12:31:37,222 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 12:31:37,226 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 12:31:37,226 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 12:31:37,374 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Produto'
2025-02-01 12:32:41,111 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 12:33:13,720 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 12:33:13,730 | INFO | root | Gerar análises de vendas...
2025-02-01 12:33:13,732 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 12:33:13,736 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 12:33:13,736 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 12:33:13,885 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Produto'
2025-02-01 12:33:30,631 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 12:33:30,641 | INFO | root | Gerar análises de vendas...
2025-02-01 12:33:30,643 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 12:33:30,647 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 12:33:30,647 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 12:33:30,796 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Produto'
2025-02-01 12:33:35,285 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 12:33:35,295 | INFO | root | Gerar análises de vendas...
2025-02-01 12:33:35,297 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 12:33:35,301 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 12:33:35,301 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 12:33:35,449 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Produto'
2025-02-01 12:37:51,562 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 12:37:51,574 | INFO | root | Gerar análises de clientes...
2025-02-01 12:37:51,574 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 12:37:51,582 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_totalgasto_por_cliente_2025-02-01.csv
2025-02-01 12:37:51,582 | INFO | AnaliseClientes | Tabela guardada: total de compras cliente.
2025-02-01 12:37:52,981 | INFO | AnaliseClientes | Criada a tabela com eixo x: Cliente e eixo y: Total Gasto
2025-02-01 12:37:55,007 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 12:37:55,012 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Column not found: quantidade'
2025-02-01 12:57:50,463 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 12:57:50,473 | INFO | root | Gerar análises de vendas...
2025-02-01 12:57:50,475 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 12:57:50,480 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 12:57:50,480 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 12:57:50,629 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Produto'
2025-02-01 13:01:27,875 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:01:27,885 | INFO | root | Gerar análises de vendas...
2025-02-01 13:01:27,888 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:01:27,893 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:01:27,893 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:01:28,054 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Produto'
2025-02-01 13:03:46,839 | INFO | DatabaseManager | Usando banco de dados: C:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:03:46,854 | INFO | root | Gerar análises de vendas...
2025-02-01 13:04:42,501 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:04:42,516 | INFO | root | Gerar análises de vendas...
2025-02-01 13:06:12,503 | INFO | DatabaseManager | Usando banco de dados: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\database\loja.db
2025-02-01 13:06:12,513 | INFO | root | Gerar análises de vendas...
2025-02-01 13:06:12,515 | INFO | AnaliseClientes | Feito o merge as tabelas, vendas, clientes e produtos.
2025-02-01 13:06:12,520 | INFO | root | Ficheiro guardado com sucesso: c:\Users\Tuta\Documents\GitHub\ProjetoAnaliseVendas\utils\..\data/analisescsv\top10_receita_por_produto_2025-02-01.csv
2025-02-01 13:06:12,520 | INFO | AnaliseClientes | Ficheiro guardado em csv com o nome: top10_receita_por_produto
2025-02-01 13:06:12,670 | ERROR | root | Não foi possivel gerar todas as analises, erro: 'Produto'
